x;y;lat;lng;latdms;lngdms
6504350;1523525;58.661030506613876;16.210506051241484;"N 58° 392 39.713 ";"E 16° 122 37.823 "
6504148;1523406;58.65922352155853;16.208434910081976;"N 58° 392 33.203 ";"E 16° 122 30.373 "
6501000;1521000;58.63108572231948;16.166692034688875;"N 58° 372 51.913 ";"E 16° 102 0.093 "
6501000;1521000;58.63108572231948;16.166692034688875;"N 58° 372 51.913 ";"E 16° 102 0.093 "
6501000;1521000;58.63108572231948;16.166692034688875;"N 58° 372 51.913 ";"E 16° 102 0.093 "
6473782;1437879;58.382825188753934;14.743274783965884;"N 58° 222 58.173 ";"E 14° 442 35.793 "
6473300;1437450;58.3784375524904;14.736073867466027;"N 58° 222 42.383 ";"E 14° 442 9.873 "
6469778;1435890;58.34659766186964;14.71039591036769;"N 58° 202 47.753 ";"E 14° 422 37.433 "
6469778;1435890;58.34659766186964;14.71039591036769;"N 58° 202 47.753 ";"E 14° 422 37.433 "
6469778;1435890;58.34659766186964;14.71039591036769;"N 58° 202 47.753 ";"E 14° 422 37.433 "
6469778;1435890;58.34659766186964;14.71039591036769;"N 58° 202 47.753 ";"E 14° 422 37.433 "
6469778;1435890;58.34659766186964;14.71039591036769;"N 58° 202 47.753 ";"E 14° 422 37.433 "
6469778;1435890;58.34659766186964;14.71039591036769;"N 58° 202 47.753 ";"E 14° 422 37.433 "
6469778;1435890;58.34659766186964;14.71039591036769;"N 58° 202 47.753 ";"E 14° 422 37.433 "
6469700;1435900;58.34589897367162;14.710588323016369;"N 58° 202 45.243 ";"E 14° 422 38.123 "
6479500;1441420;58.43464050617307;14.802335686425636;"N 58° 262 4.713 ";"E 14° 482 8.413 "
6483684;1477102;58.4755303362712;15.412737776488171;"N 58° 282 31.913 ";"E 15° 242 45.863 "
6478440;1459525;58.427176849878315;15.11243580888009;"N 58° 252 37.843 ";"E 15° 62 44.773 "
6474962;1460543;58.39604724516622;15.130456041000796;"N 58° 232 45.773 ";"E 15° 72 49.643 "
6472382;1453166;58.37215919969116;15.004845193197024;"N 58° 222 19.773 ";"E 15° 02 17.443 "
6472380;1453180;58.372142742402026;15.005084817635923;"N 58° 222 19.713 ";"E 15° 02 18.313 "
6472366;1453172;58.37201620910029;15.004950970909784;"N 58° 222 19.263 ";"E 15° 02 17.823 "
6458981;1455471;58.25209645150612;15.046813903912765;"N 58° 152 7.553 ";"E 15° 22 48.533 "
6458947;1455421;58.251786161870314;15.045968971163585;"N 58° 152 6.433 ";"E 15° 22 45.493 "
6458982;1455477;58.252106035911105;15.04691588800751;"N 58° 152 7.583 ";"E 15° 22 48.903 "
6458980;1455464;58.25208676580838;15.04669489054024;"N 58° 152 7.513 ";"E 15° 22 48.103 "
6459000;1458000;58.25251569205778;15.089878023320496;"N 58° 152 9.063 ";"E 15° 52 23.563 "
6473183;1448098;58.37877845057472;14.918069419133511;"N 58° 222 43.603 ";"E 14° 552 5.053 "
6473183;1448098;58.37877845057472;14.918069419133511;"N 58° 222 43.603 ";"E 14° 552 5.053 "
6473183;1448098;58.37877845057472;14.918069419133511;"N 58° 222 43.603 ";"E 14° 552 5.053 "
6473183;1448098;58.37877845057472;14.918069419133511;"N 58° 222 43.603 ";"E 14° 552 5.053 "
6473330;1448100;58.38009827645575;14.918070433072101;"N 58° 222 48.353 ";"E 14° 552 5.053 "
6472647;1448200;58.37397895992165;14.919933250608286;"N 58° 222 26.323 ";"E 14° 552 11.763 "
6471010;1458710;58.36040022862146;15.099823272298893;"N 58° 212 37.443 ";"E 15° 52 59.363 "
6471010;1458710;58.36040022862146;15.099823272298893;"N 58° 212 37.443 ";"E 15° 52 59.363 "
6471010;1458710;58.36040022862146;15.099823272298893;"N 58° 212 37.443 ";"E 15° 52 59.363 "
